timestamp,quote_balance,base_balance,total_value_in_quote,price
2025-02-28T23:29:08.702471,100.0,0.0,100.0,
2025-02-28T23:29:11.871330,100.0,0.0,100.0,0.3794
2025-02-28T23:29:14.094906,100.0,0.0,100.0,0.3794
2025-02-28T23:29:16.318307,100.0,0.0,100.0,0.3794
2025-02-28T23:29:18.552677,100.0,0.0,100.0,0.3794
2025-02-28T23:29:20.847711,100.0,0.0,100.0,0.3794
2025-02-28T23:29:24.106559,100.0,0.0,100.0,0.3794
2025-02-28T23:29:26.318739,100.0,0.0,100.0,0.3794
2025-02-28T23:29:28.534276,100.0,0.0,100.0,0.3794
2025-02-28T23:29:30.729038,100.0,0.0,100.0,0.3794
2025-02-28T23:29:32.973619,100.0,0.0,100.0,0.3794
2025-02-28T23:29:35.237935,100.0,0.0,100.0,0.3794
2025-02-28T23:29:37.523232,100.0,0.0,100.0,0.3794
2025-02-28T23:29:39.813341,100.0,0.0,100.0,0.3794
2025-02-28T23:29:42.091666,100.0,0.0,100.0,0.3794
2025-02-28T23:29:44.350531,100.0,0.0,100.0,0.3794
2025-02-28T23:29:46.697772,100.0,0.0,100.0,0.3794
2025-02-28T23:29:48.932194,100.0,0.0,100.0,0.3794
2025-02-28T23:29:51.348864,100.0,0.0,100.0,0.3794
2025-02-28T23:29:53.626777,100.0,0.0,100.0,0.3794
2025-02-28T23:29:55.986890,100.0,0.0,100.0,0.3794
2025-02-28T23:29:58.318083,100.0,0.0,100.0,0.3794
2025-02-28T23:30:00.652118,100.0,0.0,100.0,0.3794
2025-02-28T23:30:03.153597,100.0,0.0,100.0,0.3794
2025-02-28T23:30:05.435342,100.0,0.0,100.0,0.3794
2025-02-28T23:30:07.748700,100.0,0.0,100.0,0.3794
2025-02-28T23:30:10.121558,100.0,0.0,100.0,0.3794
2025-02-28T23:30:12.448354,100.0,0.0,100.0,0.3794
2025-02-28T23:30:14.822894,100.0,0.0,100.0,0.3794
2025-02-28T23:30:18.934183,100.0,0.0,100.0,0.3794
2025-02-28T23:30:21.284598,100.0,0.0,100.0,0.3794
2025-02-28T23:30:23.657488,100.0,0.0,100.0,0.3794
2025-02-28T23:30:25.973928,100.0,0.0,100.0,0.3794
2025-02-28T23:30:28.237832,100.0,0.0,100.0,0.3794
2025-02-28T23:30:30.609930,100.0,0.0,100.0,0.3794
2025-02-28T23:30:32.922078,100.0,0.0,100.0,0.3794
2025-02-28T23:30:35.245787,100.0,0.0,100.0,0.3794
2025-02-28T23:30:37.614336,100.0,0.0,100.0,0.3794
2025-02-28T23:30:39.953296,100.0,0.0,100.0,0.3794
2025-02-28T23:30:42.311199,100.0,0.0,100.0,0.3794
2025-02-28T23:30:44.614121,100.0,0.0,100.0,0.3794
