timestamp,quote_balance,base_balance,total_value_in_quote,price
2025-02-28T23:28:40.214122,100.0,0.0,100.0,
2025-02-28T23:28:42.108222,100.0,0.0,100.0,2.2019
2025-02-28T23:28:44.325369,100.0,0.0,100.0,2.2021
2025-02-28T23:28:46.565590,100.0,0.0,100.0,2.2021
2025-02-28T23:28:48.816462,100.0,0.0,100.0,2.2021
2025-02-28T23:28:51.083584,100.0,0.0,100.0,2.202
2025-02-28T23:28:53.295062,100.0,0.0,100.0,2.202
2025-02-28T23:28:55.547763,100.0,0.0,100.0,2.2021
2025-02-28T23:28:57.778647,100.0,0.0,100.0,2.2024
2025-02-28T23:28:59.999031,100.0,0.0,100.0,2.2027
2025-02-28T23:29:02.217445,100.0,0.0,100.0,2.2023
2025-02-28T23:29:04.427882,100.0,0.0,100.0,2.2023
2025-02-28T23:29:06.644281,100.0,0.0,100.0,2.2023
2025-02-28T23:29:08.937426,100.0,0.0,100.0,2.2019
2025-02-28T23:29:11.210589,100.0,0.0,100.0,2.2013
2025-02-28T23:29:13.479092,100.0,0.0,100.0,2.2008
2025-02-28T23:29:15.723735,100.0,0.0,100.0,2.2007
2025-02-28T23:29:17.934961,100.0,0.0,100.0,2.2008
2025-02-28T23:29:20.196599,100.0,0.0,100.0,2.2017
2025-02-28T23:29:24.135681,100.0,0.0,100.0,2.2018
2025-02-28T23:29:26.372316,100.0,0.0,100.0,2.2021
2025-02-28T23:29:28.589443,100.0,0.0,100.0,2.2021
2025-02-28T23:29:30.880129,100.0,0.0,100.0,2.2019
2025-02-28T23:29:33.176425,100.0,0.0,100.0,2.202
2025-02-28T23:29:35.460438,100.0,0.0,100.0,2.2017
2025-02-28T23:29:37.729444,100.0,0.0,100.0,2.2023
2025-02-28T23:29:39.939261,100.0,0.0,100.0,2.2022
2025-02-28T23:29:42.144930,100.0,0.0,100.0,2.202
2025-02-28T23:29:44.372061,100.0,0.0,100.0,2.202
2025-02-28T23:29:46.638687,100.0,0.0,100.0,2.2022
2025-02-28T23:29:48.946417,100.0,0.0,100.0,2.2025
2025-02-28T23:29:51.387713,100.0,0.0,100.0,2.2024
2025-02-28T23:29:53.660802,100.0,0.0,100.0,2.2022
2025-02-28T23:29:55.946926,100.0,0.0,100.0,2.2022
2025-02-28T23:29:58.246879,100.0,0.0,100.0,2.2022
2025-02-28T23:30:00.676574,100.0,0.0,100.0,2.2022
2025-02-28T23:30:03.137779,100.0,0.0,100.0,2.2022
2025-02-28T23:30:05.429877,100.0,0.0,100.0,2.202
2025-02-28T23:30:07.752099,100.0,0.0,100.0,2.2018
2025-02-28T23:30:10.138188,100.0,0.0,100.0,2.2014
2025-02-28T23:30:12.514755,100.0,0.0,100.0,2.201
2025-02-28T23:30:14.750205,100.0,0.0,100.0,2.2016
2025-02-28T23:30:18.863900,100.0,0.0,100.0,2.2017
2025-02-28T23:30:21.216796,100.0,0.0,100.0,2.2017
2025-02-28T23:30:23.577831,100.0,0.0,100.0,2.2009
2025-02-28T23:30:25.910351,100.0,0.0,100.0,2.2002
2025-02-28T23:30:28.239508,100.0,0.0,100.0,2.2008
2025-02-28T23:30:30.557845,100.0,0.0,100.0,2.2003
2025-02-28T23:30:32.941027,100.0,0.0,100.0,2.2012
2025-02-28T23:30:35.265774,100.0,0.0,100.0,2.2016
2025-02-28T23:30:37.605554,100.0,0.0,100.0,2.2018
2025-02-28T23:30:39.972103,100.0,0.0,100.0,2.2021
2025-02-28T23:30:42.298005,100.0,0.0,100.0,2.2019
2025-02-28T23:30:44.585785,100.0,0.0,100.0,2.2013
